domain,condition,seed,progress,response_deg,ci_low,ci_high,n_upright,n_tilt,radius_mm
sim,pitch_plus,20280910,3.0,9.987503939165657,,,1,1,20.0
sim,pitch_plus,-1,0.0,0.021426971478494525,,,3,3,20.0
sim,pitch_plus,-1,1.0,0.03121862353176042,,,3,3,20.0
sim,pitch_plus,-1,2.0,9.58475205824721,,,3,3,20.0
sim,pitch_plus,-1,3.0,9.464280921207717,,,3,3,20.0
real,tilted,-1,0.0,3.3162398368552592,2.7790198716424146,3.900341413737645,50,61,30.0
real,tilted,-1,1.0,7.221502902766547,6.064507520963358,8.345752995333074,50,61,30.0
real,tilted,-1,2.0,10.09132118604804,9.332830458874433,10.900071757192695,50,61,30.0
real,tilted,-1,3.0,10.337355082279187,9.653398667815738,11.055080760175017,50,61,30.0
sim,pitch_minus,20260910,0.0,0.03019800098686851,,,1,1,30.0
sim,pitch_minus,20260910,1.0,0.10664482003509253,,,1,1,30.0
sim,pitch_minus,20260910,2.0,10.963111372502524,,,1,1,30.0
sim,pitch_minus,20260910,3.0,10.6794380747618,,,1,1,30.0
sim,pitch_minus,20270910,0.0,0.027256769309985912,,,1,1,30.0
sim,pitch_minus,20270910,1.0,0.0720247442777424,,,1,1,30.0
sim,pitch_minus,20270910,2.0,9.622139585892203,,,1,1,30.0
sim,pitch_minus,20270910,3.0,9.52489378741301,,,1,1,30.0
sim,pitch_minus,20280910,0.0,0.049196887427089636,,,1,1,30.0
sim,pitch_minus,20280910,1.0,0.13428937300691704,,,1,1,30.0
sim,pitch_minus,20280910,2.0,9.46554423726322,,,1,1,30.0
sim,pitch_minus,20280910,3.0,9.702553409631003,,,1,1,30.0
sim,pitch_minus,-1,0.0,0.01915289970758363,,,3,3,30.0
sim,pitch_minus,-1,1.0,0.030904525343545146,,,3,3,30.0
sim,pitch_minus,-1,2.0,9.942680209544864,,,3,3,30.0
sim,pitch_minus,-1,3.0,9.899344890960032,,,3,3,30.0
sim,pitch_plus,20260910,0.0,0.035772527280862075,,,1,1,30.0
sim,pitch_plus,20260910,1.0,0.11940636663246124,,,1,1,30.0
sim,pitch_plus,20260910,2.0,8.469945792408954,,,1,1,30.0
sim,pitch_plus,20260910,3.0,8.566328435534503,,,1,1,30.0
sim,pitch_plus,20270910,0.0,0.03174378854340239,,,1,1,30.0
sim,pitch_plus,20270910,1.0,0.048099894070874755,,,1,1,30.0
sim,pitch_plus,20270910,2.0,10.154586039433473,,,1,1,30.0
sim,pitch_plus,20270910,3.0,9.950676379988039,,,1,1,30.0
sim,pitch_plus,20280910,0.0,0.04718286194503941,,,1,1,30.0
sim,pitch_plus,20280910,1.0,0.13571177033292595,,,1,1,30.0
sim,pitch_plus,20280910,2.0,10.188896491115317,,,1,1,30.0
sim,pitch_plus,20280910,3.0,9.987503939165657,,,1,1,30.0
sim,pitch_plus,-1,0.0,0.021426971478494525,,,3,3,30.0
sim,pitch_plus,-1,1.0,0.03121862353176042,,,3,3,30.0
sim,pitch_plus,-1,2.0,9.568598804140372,,,3,3,30.0
sim,pitch_plus,-1,3.0,9.464280921207717,,,3,3,30.0
real,tilted,-1,0.0,3.3162398368552592,2.7790198716424146,3.900341413737645,50,61,40.0
real,tilted,-1,1.0,7.221502902766547,6.064507520963358,8.345752995333074,50,61,40.0
real,tilted,-1,2.0,10.187883301773525,9.433882533508571,10.98985650318281,50,61,40.0
real,tilted,-1,3.0,10.337355082279187,9.653398667815738,11.055080760175017,50,61,40.0
sim,pitch_minus,20260910,0.0,0.03019800098686851,,,1,1,40.0
sim,pitch_minus,20260910,1.0,0.10664482003509253,,,1,1,40.0
sim,pitch_minus,20260910,2.0,10.94894956313636,,,1,1,40.0
sim,pitch_minus,20260910,3.0,10.6794380747618,,,1,1,40.0
sim,pitch_minus,20270910,0.0,0.027256769309985912,,,1,1,40.0
sim,pitch_minus,20270910,1.0,0.0720247442777424,,,1,1,40.0
sim,pitch_minus,20270910,2.0,9.579190017330028,,,1,1,40.0
sim,pitch_minus,20270910,3.0,9.52489378741301,,,1,1,40.0
sim,pitch_minus,20280910,0.0,0.049196887427089636,,,1,1,40.0
sim,pitch_minus,20280910,1.0,0.13428937300691704,,,1,1,40.0
sim,pitch_minus,20280910,2.0,9.479783591918931,,,1,1,40.0
sim,pitch_minus,20280910,3.0,9.702553409631003,,,1,1,40.0
sim,pitch_minus,-1,0.0,0.01915289970758363,,,3,3,40.0
sim,pitch_minus,-1,1.0,0.030904525343545146,,,3,3,40.0
sim,pitch_minus,-1,2.0,9.925723456185278,,,3,3,40.0
sim,pitch_minus,-1,3.0,9.899344890960032,,,3,3,40.0
sim,pitch_plus,20260910,0.0,0.035772527280862075,,,1,1,40.0
sim,pitch_plus,20260910,1.0,0.11940636663246124,,,1,1,40.0
sim,pitch_plus,20260910,2.0,8.484024087466153,,,1,1,40.0
sim,pitch_plus,20260910,3.0,8.566328435534503,,,1,1,40.0
sim,pitch_plus,20270910,0.0,0.03174378854340239,,,1,1,40.0
sim,pitch_plus,20270910,1.0,0.048099894070874755,,,1,1,40.0
sim,pitch_plus,20270910,2.0,10.13366035652016,,,1,1,40.0
sim,pitch_plus,20270910,3.0,9.950676379988039,,,1,1,40.0
sim,pitch_plus,20280910,0.0,0.04718286194503941,,,1,1,40.0
sim,pitch_plus,20280910,1.0,0.13571177033292595,,,1,1,40.0
sim,pitch_plus,20280910,2.0,10.166101304463892,,,1,1,40.0
sim,pitch_plus,20280910,3.0,9.987503939165657,,,1,1,40.0
sim,pitch_plus,-1,0.0,0.021426971478494525,,,3,3,40.0
sim,pitch_plus,-1,1.0,0.03121862353176042,,,3,3,40.0
sim,pitch_plus,-1,2.0,9.559700140847632,,,3,3,40.0
sim,pitch_plus,-1,3.0,9.464280921207717,,,3,3,40.0
