x,y,z,reachable,last_phase,error,ik_distance
0.03,-0.1,0.28,False,initial,RuntimeError('motion planning failed'),0.40356
0.03,-0.1,0.33,False,initial,RuntimeError('motion planning failed'),
0.03,-0.05,0.18,False,initial,RuntimeError('motion planning failed'),0.624695
0.03,-0.05,0.23,False,initial,RuntimeError('motion planning failed'),0.642752
0.03,-0.05,0.28,False,initial,RuntimeError('motion planning failed'),0.405861
0.03,-0.05,0.33,False,initial,RuntimeError('motion planning failed'),0.532265
0.03,0.0,0.18,False,initial,RuntimeError('motion planning failed'),
0.03,0.0,0.23,False,initial,RuntimeError('motion planning failed'),
0.03,0.0,0.28,False,initial,RuntimeError('motion planning failed'),0.419128
0.03,0.0,0.33,False,initial,RuntimeError('motion planning failed'),0.348196
0.03,0.05,0.18,False,initial,RuntimeError('motion planning failed'),0.532449
0.03,0.05,0.23,False,initial,RuntimeError('motion planning failed'),0.470737
0.03,0.05,0.28,False,initial,RuntimeError('motion planning failed'),1.322147
0.03,0.05,0.33,False,initial,RuntimeError('motion planning failed'),0.569526
0.03,0.1,0.18,False,initial,RuntimeError('motion planning failed'),0.36633
0.03,0.1,0.23,False,initial,RuntimeError('motion planning failed'),0.742143
0.03,0.1,0.28,False,initial,RuntimeError('motion planning failed'),0.474887
0.03,0.1,0.33,False,initial,RuntimeError('motion planning failed'),
0.08,-0.15,0.18,False,initial,RuntimeError('motion planning failed'),0.663976
0.08,-0.15,0.23,False,initial,RuntimeError('motion planning failed'),1.549587
0.08,-0.15,0.28,False,initial,RuntimeError('motion planning failed'),0.788745
0.08,-0.15,0.33,False,initial,RuntimeError('motion planning failed'),0.581728
0.08,-0.1,0.18,False,initial,RuntimeError('motion planning failed'),1.25498
0.08,-0.1,0.23,False,initial,RuntimeError('motion planning failed'),0.674424
0.08,-0.1,0.28,False,initial,RuntimeError('motion planning failed'),
0.08,-0.1,0.33,False,initial,RuntimeError('motion planning failed'),1.01819
0.08,-0.05,0.18,False,initial,RuntimeError('motion planning failed'),1.43858
0.08,-0.05,0.23,False,initial,RuntimeError('motion planning failed'),0.442206
0.08,-0.05,0.28,False,initial,RuntimeError('motion planning failed'),0.563068
0.08,-0.05,0.33,False,initial,RuntimeError('motion planning failed'),0.68793
0.08,0.0,0.18,False,initial,RuntimeError('motion planning failed'),0.546539
0.08,0.0,0.23,False,initial,RuntimeError('motion planning failed'),0.632898
0.08,0.0,0.28,False,initial,RuntimeError('motion planning failed'),0.62288
0.08,0.0,0.33,False,initial,RuntimeError('motion planning failed'),0.913365
0.08,0.05,0.18,False,initial,RuntimeError('motion planning failed'),0.595416
0.08,0.05,0.23,False,initial,RuntimeError('motion planning failed'),0.368869
0.08,0.05,0.28,False,initial,RuntimeError('motion planning failed'),0.538306
0.08,0.05,0.33,False,initial,RuntimeError('motion planning failed'),0.383143
0.08,0.1,0.18,False,initial,RuntimeError('motion planning failed'),0.698265
0.08,0.1,0.23,False,initial,RuntimeError('motion planning failed'),0.647293
0.08,0.1,0.28,False,initial,RuntimeError('motion planning failed'),0.494265
0.08,0.1,0.33,False,initial,RuntimeError('motion planning failed'),0.738834
0.13,-0.15,0.18,False,initial,RuntimeError('motion planning failed'),0.66363
0.13,-0.15,0.23,False,initial,RuntimeError('motion planning failed'),0.63872
0.13,-0.15,0.28,False,initial,RuntimeError('motion planning failed'),1.978202
0.13,-0.15,0.33,False,initial,RuntimeError('motion planning failed'),0.916688
0.13,-0.1,0.18,False,initial,RuntimeError('motion planning failed'),0.677797
0.13,-0.1,0.23,False,initial,RuntimeError('motion planning failed'),1.338202
0.13,-0.1,0.28,False,initial,RuntimeError('motion planning failed'),0.648531
0.13,-0.1,0.33,False,initial,RuntimeError('motion planning failed'),0.666451
0.13,-0.05,0.18,False,initial,RuntimeError('motion planning failed'),1.578012
0.13,-0.05,0.23,False,initial,RuntimeError('motion planning failed'),0.412763
0.13,-0.05,0.28,False,initial,RuntimeError('motion planning failed'),0.668865
0.13,-0.05,0.33,False,initial,RuntimeError('motion planning failed'),0.795665
0.13,0.0,0.18,False,initial,RuntimeError('motion planning failed'),0.45175
0.13,0.0,0.23,False,initial,RuntimeError('motion planning failed'),1.043462
0.13,0.0,0.28,False,initial,RuntimeError('motion planning failed'),0.572421
0.13,0.0,0.33,False,initial,RuntimeError('motion planning failed'),0.756601
0.13,0.05,0.18,False,initial,RuntimeError('motion planning failed'),0.810533
0.13,0.05,0.23,False,initial,RuntimeError('motion planning failed'),1.663037
0.13,0.05,0.28,False,initial,RuntimeError('motion planning failed'),0.534689
0.13,0.05,0.33,False,initial,RuntimeError('motion planning failed'),0.478213
0.13,0.1,0.18,False,initial,RuntimeError('motion planning failed'),0.829057
0.13,0.1,0.23,False,initial,RuntimeError('motion planning failed'),0.932747
0.13,0.1,0.28,False,initial,RuntimeError('motion planning failed'),0.539803
0.13,0.1,0.33,False,initial,RuntimeError('motion planning failed'),0.839751
