dataset,episode_index,session_id,condition_id,successful,task_geometry,intervention_frame,du_m,dv_m,dw_m,roll_rad,pitch_rad,yaw_rad,grasp_frame,alignment_frame,contact_frame,insertion_end_frame,source_of_labels,notes
insert_10degree,41,,,,,,,,,,,,,,,,,
insert_10degree,42,,,,,,,,,,,,,,,,,
insert_10degree,43,,,,,,,,,,,,,,,,,
insert_10degree,44,,,,,,,,,,,,,,,,,
insert_10degree,45,,,,,,,,,,,,,,,,,
insert_10degree,46,,,,,,,,,,,,,,,,,
insert_10degree,47,,,,,,,,,,,,,,,,,
insert_10degree,48,,,,,,,,,,,,,,,,,
insert_10degree,49,,,,,,,,,,,,,,,,,
insert_10degree,50,,,,,,,,,,,,,,,,,
insert_10degree,51,,,,,,,,,,,,,,,,,
insert_10degree,52,,,,,,,,,,,,,,,,,
insert_10degree,53,,,,,,,,,,,,,,,,,
insert_10degree,54,,,,,,,,,,,,,,,,,
insert_10degree,55,,,,,,,,,,,,,,,,,
insert_10degree,56,,,,,,,,,,,,,,,,,
insert_10degree,57,,,,,,,,,,,,,,,,,
insert_10degree,58,,,,,,,,,,,,,,,,,
insert_10degree,59,,,,,,,,,,,,,,,,,
insert_10degree,60,,,,,,,,,,,,,,,,,
